Log,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,Time
1,17.3,13.6,3.0963,2.0768,20.478,20.4539,09:01:17.875
2,17.3,13.6,2.5677,2.3034,21.0428,20.4203,09:01:18.826
3,17.0,13.2,2.9075,1.2838,20.5836,20.636,09:01:19.584
4,16.6,13.8,2.4922,2.5299,20.2648,20.2303,09:01:20.341
5,17.0,13.8,3.3229,2.039,20.5027,20.4195,09:01:21.103
6,17.0,13.6,2.4922,1.9635,20.3072,20.3235,09:01:21.858
7,17.5,14.1,2.5677,1.5104,20.2418,20.2941,09:01:22.627
8,17.5,13.6,2.5677,2.3034,19.9956,20.6309,09:01:23.385
9,17.3,13.8,2.5299,2.5677,20.4493,20.346,09:01:24.142
10,17.0,14.1,2.983,2.2656,20.4931,20.4501,09:01:24.918
11,17.0,13.6,2.983,1.6614,20.2731,20.1722,09:01:25.673
12,17.0,13.4,2.6432,2.3411,20.4524,20.7821,09:01:26.449
13,17.5,14.3,3.9648,2.1523,20.8127,20.5457,09:01:27.212
14,17.5,14.1,2.4922,2.3034,20.1339,20.1866,09:01:27.973
15,17.3,14.1,3.2096,1.8502,20.4411,20.4068,09:01:28.734
16,17.0,13.4,2.9453,2.3034,20.7072,19.9251,09:01:29.495
17,17.3,14.1,2.3411,3.0586,20.2922,20.2394,09:01:30.260
18,16.8,14.3,3.0963,2.7187,20.4405,20.3041,09:01:31.021
19,16.8,13.8,2.5677,2.2278,20.4863,20.364,09:01:31.780
20,17.0,13.6,2.7565,2.4544,20.2629,20.5397,09:01:32.538
21,17.5,13.6,3.2851,2.7942,20.3967,20.4041,09:01:33.313
22,17.3,14.1,2.5677,1.8125,20.3718,20.7177,09:01:34.087
23,17.0,14.1,3.5117,2.4544,20.3433,20.1891,09:01:34.849
24,17.3,13.6,3.625,2.7942,20.4711,20.4227,09:01:35.627
25,17.0,13.6,2.7565,2.5299,19.7104,20.2546,09:01:36.388
26,16.8,14.3,2.7565,1.5104,20.2337,20.3438,09:01:37.153
27,17.3,13.6,2.2656,2.2656,20.4392,20.391,09:01:37.914
28,17.0,13.8,2.7942,2.6054,20.4396,20.5084,09:01:38.670
29,17.0,13.8,3.8893,2.8698,20.4774,20.6306,09:01:39.430
30,16.6,14.5,2.3789,2.5299,20.0399,20.2367,09:01:40.191
31,17.0,12.9,2.832,2.3034,20.2106,20.3309,09:01:40.948
32,17.5,14.1,2.4922,2.4544,20.2897,20.3892,09:01:41.688
33,17.0,13.6,2.9453,2.3034,20.4929,20.381,09:01:42.443
34,17.0,13.8,2.681,1.4726,20.3713,20.4643,09:01:43.204
35,17.0,14.3,2.4166,2.4166,20.3513,20.0624,09:01:43.962
36,17.0,14.1,2.5677,2.832,20.349,20.0319,09:01:44.724
37,16.8,14.5,2.9075,1.5104,20.4592,20.4021,09:01:45.503
